Populations légales des communes en vigueur au 1er janvier 2015,,,,,,,,,
Mise à jour : décembre 2014,,,,,,,,,
en habitant,,,,,,,,,
"Champ : Département du Haut-Rhin, limites territoriales en vigueur au 1er janvier 2014",,,,,,,,,
Date de référence statistique : 1er janvier 2012,,,,,,,,,
Source :,"Insee, Recensement de la population 2012",,,,,,,,
,,,,,,,,,
Code région,Nom de la région,Code département,Code arrondissement,Code canton,Code commune,Nom de la commune,Population municipale,Population comptée à part,Population totale
42,Alsace,68,1,10,240,Oberdorf,595,11,606
42,Alsace,68,3,6,241,Oberentzen,579,13,592
42,Alsace,68,3,6,242,Oberhergheim,1200,17,1217
42,Alsace,68,1,7,243,Oberlarg,152,9,161
42,Alsace,68,2,26,244,Obermorschwihr,364,32,396
42,Alsace,68,1,1,245,Obermorschwiller,400,13,413
42,Alsace,68,2,19,246,Obersaasheim,1014,25,1039
42,Alsace,68,6,22,247,Oderen,1299,16,1315
42,Alsace,68,1,7,248,Oltingue,733,17,750
42,Alsace,68,5,14,249,Orbey,3647,76,3723
42,Alsace,68,3,8,250,Orschwihr,1052,22,1074
42,Alsace,68,3,21,251,Osenbach,885,27,912
42,Alsace,68,5,20,252,Ostheim,1568,26,1594
42,Alsace,68,4,31,253,Ottmarsheim,1829,29,1858
42,Alsace,68,4,31,254,Petit-Landau,775,12,787
42,Alsace,68,3,21,255,Pfaffenheim,1319,30,1349
42,Alsace,68,4,27,256,Pfastatt,9269,164,9433
42,Alsace,68,1,10,257,Pfetterhouse,1029,15,1044
42,Alsace,68,3,6,258,Pulversheim,2925,72,2997
42,Alsace,68,1,7,259,Raedersdorf,509,9,518
42,Alsace,68,3,24,260,Raedersheim,1150,21,1171
42,Alsace,68,6,25,261,Rammersmatt,213,5,218
42,Alsace,68,6,22,262,Ranspach,842,25,867
42,Alsace,68,4,11,263,Ranspach-le-Bas,680,10,690
42,Alsace,68,4,11,264,Ranspach-le-Haut,618,17,635
42,Alsace,68,4,13,265,Rantzwiller,819,18,837
42,Alsace,68,3,6,266,Réguisheim,1810,25,1835
42,Alsace,68,4,27,267,Reiningue,1908,29,1937
42,Alsace,68,1,5,268,Retzwiller,634,14,648
42,Alsace,68,5,20,269,Ribeauvillé,4806,186,4992
42,Alsace,68,4,27,270,Richwiller,3516,53,3569
42,Alsace,68,4,9,271,Riedisheim,12012,346,12358
42,Alsace,68,2,2,272,Riedwihr,401,6,407
42,Alsace,68,1,10,273,Riespach,710,32,742
