"","Code.région","Nom.de.la.région","Code.département","Code.arrondissement","Code.canton","Code.commune","Nom.de.la.commune","Population.municipale","Population.comptée.à.part","Population.totale"
"119",42,"Alsace",67,5,1,67125,"Epfig",2217,86,2303
"120",42,"Alsace",67,4,17,67126,"Erckartswiller",309,3,312
"121",42,"Alsace",67,3,14,67127,"Ergersheim",1252,25,1277
"122",42,"Alsace",67,3,14,67128,"Ernolsheim-Bruche",1773,27,1800
"123",42,"Alsace",67,4,21,67129,"Ernolsheim-lès-Saverne",602,15,617
"124",42,"Alsace",67,5,7,67130,"Erstein",10764,162,10926
"125",42,"Alsace",67,6,8,67131,"Eschau",4738,65,4803
"126",42,"Alsace",67,7,35,67132,"Eschbach",933,19,952
"127",42,"Alsace",67,4,17,67133,"Eschbourg",501,14,515
"128",42,"Alsace",67,4,6,67134,"Eschwiller",192,4,196
"129",42,"Alsace",67,6,10,67135,"Ettendorf",795,21,816
"130",42,"Alsace",67,4,6,67136,"Eywiller",265,3,268
"131",42,"Alsace",67,6,8,67137,"Fegersheim",5443,90,5533
"132",42,"Alsace",67,6,31,67138,"Fessenheim-le-Bas",534,5,539
"133",42,"Alsace",67,3,33,67139,"Flexbourg",499,13,512
"134",42,"Alsace",67,2,3,67140,"Forstfeld",730,5,735
"135",42,"Alsace",67,7,35,67141,"Forstheim",574,6,580
"136",42,"Alsace",67,2,3,67142,"Fort-Louis",321,3,324
"137",42,"Alsace",67,5,32,67143,"Fouchy",669,10,679
"138",42,"Alsace",67,3,23,67144,"Fouday",358,5,363
"139",42,"Alsace",67,6,10,67145,"Friedolsheim",257,0,257
"140",42,"Alsace",67,5,2,67146,"Friesenheim",630,8,638
"141",42,"Alsace",67,7,35,67147,"Froeschwiller",529,13,542
"142",42,"Alsace",67,4,17,67148,"Frohmuhl",186,4,190
"143",42,"Alsace",67,4,21,67149,"Furchhausen",417,16,433
"144",42,"Alsace",67,6,31,67150,"Furdenheim",1278,8,1286
"145",42,"Alsace",67,6,5,67151,"Gambsheim",4572,52,4624
"146",42,"Alsace",67,6,8,67152,"Geispolsheim",7124,95,7219
"147",42,"Alsace",67,6,10,67153,"Geiswiller",195,2,197
"148",42,"Alsace",67,5,7,67154,"Gerstheim",3249,31,3280
"149",42,"Alsace",67,5,1,67155,"Gertwiller",1195,25,1220
"150",42,"Alsace",67,6,5,67156,"Geudertheim",2310,20,2330
"151",42,"Alsace",67,6,10,67158,"Gingsheim",319,4,323
"152",42,"Alsace",67,4,6,67159,"Goerlingen",250,3,253
"153",42,"Alsace",67,7,35,67160,"Goersdorf",1121,27,1148
"154",42,"Alsace",67,4,13,67161,"Gottenhouse",392,12,404
"155",42,"Alsace",67,4,21,67162,"Gottesheim",344,5,349
"156",42,"Alsace",67,6,31,67163,"Gougenheim",557,5,562
"157",42,"Alsace",67,5,16,67164,"Goxwiller",841,13,854
"158",42,"Alsace",67,3,23,67165,"Grandfontaine",431,6,437
"159",42,"Alsace",67,6,10,67166,"Grassendorf",219,5,224
"160",42,"Alsace",67,3,18,67167,"Grendelbruch",1261,38,1299
"161",42,"Alsace",67,3,14,67168,"Gresswiller",1629,33,1662
"162",42,"Alsace",67,6,5,67169,"Gries",2791,31,2822
"163",42,"Alsace",67,3,18,67172,"Griesheim-près-Molsheim",2125,33,2158
"164",42,"Alsace",67,6,31,67173,"Griesheim-sur-Souffel",1128,28,1156
"165",42,"Alsace",67,2,15,67174,"Gumbrechtshoffen",1159,19,1178
"166",42,"Alsace",67,2,15,67176,"Gundershoffen",3586,58,3644
"167",42,"Alsace",67,4,6,67178,"Gungwiller",277,5,282
"168",42,"Alsace",67,7,35,67177,"Gunstett",693,11,704
"169",42,"Alsace",67,4,13,67179,"Haegen",657,16,673
"170",42,"Alsace",67,2,9,67180,"Haguenau",34406,614,35020
"171",42,"Alsace",67,6,31,67181,"Handschuheim",298,2,300
"172",42,"Alsace",67,6,43,67182,"Hangenbieten",1477,8,1485
