Populations légales des communes en vigueur au 1er janvier 2015,,,,,,,,,
Mise à jour : décembre 2014,,,,,,,,,
en habitant,,,,,,,,,
"Champ : Département du Bas-Rhin, limites territoriales en vigueur au 1er janvier 2014",,,,,,,,,
Date de référence statistique : 1er janvier 2012,,,,,,,,,
Source :,"Insee, Recensement de la population 2012",,,,,,,,
,,,,,,,,,
Code région,Nom de la région,Code département,Code arrondissement,Code canton,Code commune,Nom de la commune,Population municipale,Population comptée à part,Population totale
42,Alsace,67,4,13,161,Gottenhouse,392,12,404
42,Alsace,67,4,21,162,Gottesheim,344,5,349
42,Alsace,67,6,31,163,Gougenheim,557,5,562
42,Alsace,67,5,16,164,Goxwiller,841,13,854
42,Alsace,67,3,23,165,Grandfontaine,431,6,437
42,Alsace,67,6,10,166,Grassendorf,219,5,224
42,Alsace,67,3,18,167,Grendelbruch,1261,38,1299
42,Alsace,67,3,14,168,Gresswiller,1629,33,1662
42,Alsace,67,6,5,169,Gries,2791,31,2822
42,Alsace,67,3,18,172,Griesheim-près-Molsheim,2125,33,2158
42,Alsace,67,6,31,173,Griesheim-sur-Souffel,1128,28,1156
42,Alsace,67,2,15,174,Gumbrechtshoffen,1159,19,1178
42,Alsace,67,2,15,176,Gundershoffen,3586,58,3644
42,Alsace,67,4,6,178,Gungwiller,277,5,282
42,Alsace,67,7,35,177,Gunstett,693,11,704
42,Alsace,67,4,13,179,Haegen,657,16,673
42,Alsace,67,2,9,180,Haguenau,34406,614,35020
42,Alsace,67,6,31,181,Handschuheim,298,2,300
42,Alsace,67,6,43,182,Hangenbieten,1477,8,1485
42,Alsace,67,4,20,183,Harskirchen,838,9,847
42,Alsace,67,7,26,184,Hatten,1939,30,1969
42,Alsace,67,4,21,185,Hattmatt,667,16,683
42,Alsace,67,7,35,186,Hegeney,393,1,394
42,Alsace,67,5,12,187,Heidolsheim,474,9,483
42,Alsace,67,3,14,188,Heiligenberg,646,9,655
42,Alsace,67,5,1,189,Heiligenstein,962,19,981
42,Alsace,67,4,13,190,Hengwiller,181,1,182
42,Alsace,67,4,20,191,Herbitzheim,1886,34,1920
42,Alsace,67,5,2,192,Herbsheim,912,9,921
42,Alsace,67,2,3,194,Herrlisheim,4808,60,4868
42,Alsace,67,5,12,195,Hessenheim,588,6,594
42,Alsace,67,5,12,196,Hilsenheim,2551,122,2673
42,Alsace,67,5,7,197,Hindisheim,1404,26,1430
42,Alsace,67,4,17,198,Hinsbourg,119,3,122
